Id	Label	timeset	0	1
342	Coumarin resistance		disease	Hematological
363	Dopamine beta-hydroxylase deciency		disease	Metabolic
365	Angiotensin I-converting enzyme		disease	Endocrine
366	SARS, progression of		disease	Immunological
368	Lower motor neuron disease, progressive, without sensory symptoms		disease	Neurological
374	Jensen syndrome		disease	Neurological
375	Mohr-Tranebjaerg syndrome		disease	Neurological
376	Meniere disease		disease	Neurological
380	Benzene toxicity		disease	Unclassified
386	Duchenne muscular dystrophy		disease	Muscular
403	Dilated cardiomyopathy with woolly hair and keratoderma		disease	Multiple
404	Skin fragility-woolly hair syndrome		disease	Dermatological
405	Dentin dysplasia, type II		disease	Bone
406	Dentinogenesis imperfecta, Shields type		disease	Bone
407	Achondrogenesis Ib		disease	Bone
409	Diastrophic dysplasia		disease	Skeletal
415	Shah-Waardenburg syndrome		disease	Multiple
416	ABCD syndrome		disease	Multiple
422	Hematopoiesis, cyclic		disease	Hematological
424	Supravalvar aortic stenosis		disease	Cardiovascular
425	Williams-Beuren syndrome		disease	Multiple
434	Estrogen resistance		disease	Endocrine
442	Branchiootic syndrome		disease	Neurological
453	Aortic aneurysm		disease	Cardiovascular
455	MASS syndrome		disease	Connective tissue disorder
456	Shprintzen-Goldberg syndrome		disease	Multiple
468	Aarskog-Scott syndrome		disease	Multiple
473	Achondroplasia		disease	Skeletal
475	Cervical carcinoma		disease	Cancer
477	Hypochondroplasia		disease	Skeletal
478	Muenke syndrome		disease	Skeletal
479	Thanatophoric dysplasia, types I and II		disease	Skeletal
480	Apert syndrome		disease	Connective tissue disorder
481	Beare-Stevenson cutis gyrata syndrome		disease	Multiple
482	Craniofacial-skeletal-dermatologic dysplasia		disease	Multiple
486	Hypofibrinogenemia		disease	Hematological
490	Axenfeld anomaly		disease	Ophthamological
492	Iris hypoplasia and glaucoma		disease	Ophthamological
502	Larson syndrome		disease	Skeletal
503	Spondylocarpotarsal synostosis syndrome		disease	Skeletal
523	Favism		disease	Metabolic
524	G6PD deficiency		disease	Metabolic
535	Dyserythropoietic anemia		disease	Hematological
536	Macrothrombocytopenia		disease	Hematological
540	Hyperinsulinism		disease	Metabolic
542	Adult i phenotype		disease	Hematological
552	Hypoplastic left heart syndrome		disease	Cardiovascular
553	Oculodentodigital dysplasia		disease	Skeletal
554	Syndactyly		disease	Skeletal
555	Bart-Pumphrey syndrome		disease	Multiple
556	Hystrix-like ichthyosis with deafness		disease	Multiple
557	Keratitis-ichthyosis-deafness syndrome		disease	Multiple
558	Keratoderma, palmoplantar, with deafness		disease	Dermatological
563	Simpson-Golabi-Behmel syndrome		disease	Multiple
576	McCune-Albright syndrome		disease	Multiple
577	Osseous heteroplasia		disease	Bone
578	Pseudohypoparathyroidism		disease	Endocrine
579	Somatotrophinoma		disease	Endocrine
585	Glutathione synthetase deciency		disease	Metabolic
605	Sandho disease, infantile, juvenile, and adult forms		disease	Metabolic
606	Hemolytic-uremic syndrome		disease	Hematological
608	Nephropathy-hypertension		disease	Renal
627	Vertical talus		disease	Skeletal
633	Costello syndrome		disease	Multiple
637	Apparent mineralocorticoid excess, hypertension due to		disease	Bone
643	Alcohol dependence		disease	Unclassified
644	Anorexia nervosa		disease	Nutritional
645	Seasonal affective disorder		disease	Psychiatric
663	Graft-versus-host disease		disease	Immunological
664	Allergic rhinitis		disease	Immunological
665	Hyperproinsulinemia		disease	Endocrine
667	Leprechaunism		disease	Developmental
668	Rabson-Mendenhall syndrome		disease	Multiple
669	Pancreatic agenesis		disease	Gastrointestinal
670	Macrocytic anemia		disease	Hematological
680	Myelofibrosis, idiopathic		disease	Hematological
686	Acquired long QT syndrome		disease	Cardiovascular
687	Persistent hyperinsulinemic hypoglycemia of infancy		disease	Metabolic
689	Myokymia with neonatal epilepsy		disease	Neurological
693	Mast cell leukemia		disease	Cancer
694	Mastocytosis with associated hematologic disorder		disease	Immunological
695	Piebaldism		disease	Dermatological
701	Stomach cancer		disease	Cancer
702	Cyclic ichthyosis with epidermolytic hyperkeratosis		disease	Dermatological
704	Unna-Thost disease, nonepidermolytic		disease	Dermatological
709	Nevus, epidermal, epidermolytic hyperkeratotic type		disease	Dermatological
716	Laryngoonychocutaneous syndrome		disease	Multiple
743	Bone mineral density variability		disease	Bone
745	Hyperostosis, endosteal		disease	Bone
746	Osteoporosis-pseudoglioma syndrome		disease	Bone
747	van Buchem disease		disease	Unclassified
748	Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome		disease	Cancer
752	Pallidopontonigral degeneration		disease	Neurological
753	Supranuclear palsy		disease	Neurological
754	Tauopathy and respiratory failure		disease	Neurological
766	PPM-X syndrome		disease	Neurological
769	Adrenal adenoma		disease	Cancer
770	Angiofibroma, sporadic		disease	Endocrine
771	Carcinoid tumor of lung		disease	Cancer
774	Prolactinoma, hyperparathyroidism, carcinoid syndrome		disease	Endocrine
781	Tietz syndrome		disease	Multiple
792	Myeloperoxidase deficiency		disease	Immunological
794	Lynch cancer family syndrome II		disease	Cancer
798	Witkop syndrome		disease	Developmental
810	Neurofibrosarcoma		disease	Cancer
816	Trismus-pseudocomptodactyly syndrome		disease	Multiple
817	Epstein syndrome		disease	Hematological
818	Fechtner syndrome		disease	Multiple
819	May-Hegglin anomaly		disease	Hematological
820	Sebastian syndrome		disease	Hematological
826	Nijmegen breakage syndrome		disease	Multiple
828	Coats disease		disease	Ophthamological
829	Norrie disease		disease	Neurological
833	Neurofibromatosis		disease	Cancer
834	Neurobromatosis-Noonan syndrome		disease	Cancer
835	Watson syndrome		disease	Cancer
836	Schwannomatosis		disease	Cancer
841	Coronary spasms		disease	Cardiovascular
842	Placental abruption		disease	Unclassified
852	Insensitivity to pain		disease	Neurological
868	Leprosy		disease	Immunological
871	Craniofacial-deafness-hand syndrome		disease	Multiple
872	Aniridia, type II		disease	Ophthamological
874	Eye anomalies		disease	Ophthamological
875	Foveal hypoplasia		disease	Ophthamological
876	Keratitis		disease	Ophthamological
877	Morning glory disc anomaly		disease	Skeletal
878	Optic nerve hypoplasia/aplasia		disease	Ophthamological
879	Oligodontia		disease	Skeletal
882	Dermatobrosarcoma protuberans		disease	Cancer
883	Giant-cell fibroblastoma		disease	Cancer
884	Hypereosinophilic syndrome		disease	Hematological
887	Ossication of the posterior longitudinal spinal ligaments		disease	Connective tissue disorder
888	Enlarged vestibular aqueduct		disease	Ear,Nose,Throat
889	Pendred syndrome		disease	Ear,Nose,Throat
897	Myoglobinuria/hemolysis due to PGK deciency		disease	Metabolic
902	Emphysema		disease	Respiratory
904	Ring dermoid of cornea		disease	Ophthamological
909	Nevo syndrome		disease	Connective tissue disorder
911	Pelizaeus-Merzbacher disease		disease	Neurological
912	Neuroectodermal tumors		disease	Multiple
923	Adrenocortical carcinoma		disease	Cancer
924	Myxoma, intracardiac		disease	Cardiovascular
925	Pigmented adrenocortical disease, primary isolated		disease	Cancer
928	Gerstmann-Straussler disease		disease	Neurological
929	Prion disease with protracted course		disease	Neurological
935	Pick disease		disease	Neurological
939	Basal cell nevus syndrome		disease	Multiple
941	Bannayan-Riley-Ruvalcaba syndrome		disease	Unclassified
942	Lhermitte-Duclos syndrome		disease	Cancer
943	Oligodendroglioma		disease	Cancer
944	VATER association with hydrocephalus		disease	Multiple
947	Leopard syndrome		disease	Multiple
948	Noonan syndrome		disease	Developmental
949	Zlotogora-Ogur syndrome		disease	Multiple
954	Capillary malformations		disease	Cardiovascular
955	Parkes Weber syndrome		disease	Multiple
956	Retinoblastoma		disease	Cancer
958	Butterfly dystrophy, retinal		disease	Ophthamological
959	Foveomacular dystrophy, adult-onset, with choroidal neovascularization		disease	Ophthamological
960	Hyperproreninemia		disease	Cardiovascular
961	Colonic aganglionosis, total, with small bowel involvement		disease	Gastrointestinal
962	Rh-mod syndrome		disease	Hematological
965	Bothnia retinal dystrophy		disease	Ophthamological
966	Newfoundland rod-cone dystrophy		disease	Ophthamological
969	Coffin-Lowry syndrome		disease	Multiple
974	Cramps, potassium-aggravated		disease	Muscular
975	Hyperkalemic periodic paralysis		disease	Neurological
976	Paramyotonia congenita		disease	Muscular
977	Brugada syndrome		disease	Cardiovascular
978	Heart block		disease	Cardiovascular
979	Sick sinus syndrome		disease	Cardiovascular
980	Ventricular brillation, idiopathic		disease	Cardiovascular
986	Carcinoid tumors, intestinal		disease	Cancer
987	Merkel cell carcinoma		disease	Cancer
991	Solitary median maxillary central incisor		disease	Skeletal
996	Fanconi-Bickel syndrome		disease	Metabolic
1002	Anxiety-related personality traits		disease	Psychiatric
1003	Creatine deciency syndrome, X-linked		disease	Neurological
1012	Infundibular hypoplasia and hypopituitarism		disease	Endocrine
1015	PCWH		disease	Neurological
1016	Yemenite deaf-blind hypopigmentation syndrome		disease	Multiple
1020	Pyropoikilocytosis		disease	Hematological
1025	Peutz-Jeghers syndrome		disease	Cancer
1027	Hypoglycemia		disease	Metabolic
1029	Wegener granulomatosis		disease	Immunological
1033	Barth syndrome		disease	Multiple
1034	Noncompaction of left ventricular myocardium		disease	Cardiovascular
1040	Glomerulocystic kidney disease, hypoplastic		disease	Renal
1047	Autoimmune thyroid disease		disease	Endocrine
1051	Self-healing collodion baby		disease	Dermatological
1065	Adrenal cortical carcinoma		disease	Cancer
1066	Histiocytoma		disease	Cancer
1068	Multiple malignancy syndrome		disease	Cancer
1069	Nasopharyngeal carcinoma		disease	Cancer
1072	Hyperthyroidism		disease	Endocrine
1073	Total iodide organication defect		disease	Endocrine
1078	Hyperthroidism		disease	Endocrine
1080	Amyloid neuropathy		disease	Neurological
1081	Carpal tunnel syndrome, familial		disease	Unclassified
1082	Dystransthyretinemic hyperthyroxinemia		disease	Hematological
1089	Hemangioblastoma, cerebellar		disease	Cancer
1091	Maculopathy, bull's-eye		disease	Ophthamological
1092	Vitelliform macular dystrophy		disease	Ophthamological
1094	Wiskott-Aldrich syndrome		disease	Immunological
1099	Denys-Drash syndrome		disease	Renal
1100	Frasier syndrome		disease	Multiple
1101	Mesangial sclerosis		disease	Renal
1102	WAGR syndrome		disease	Multiple
1120	Salivary adenoma		disease	Cancer
1121	Uterine leiomyoma		disease	Cancer
1130	Miyoshi myopathy		disease	Muscular
1132	Oligodontia-colorectal cancer syndrome		disease	Cancer
1136	Incontinentia pigmenti		disease	Dermatological
1148	Arthropathy		disease	Bone
1152	Mesothelioma		disease	Cancer
1153	Sezary syndrome		disease	Cancer
1174	Myotilinopathy		disease	Muscular
1181	Enhanced S-cone syndrome		disease	Ophthamological
1198	Netherton syndrome		disease	Dermatological
1208	Pigmented paravenous chorioretinal atrophy		disease	Ophthamological
1221	Silver spastic paraplegia syndrome		disease	Neurological
1227	Craniofacial anomalies, empty sella turcica, corneal endothelial changes		disease	Multiple
1228	Keratoconus		disease	Ophthamological
1232	Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked		disease	Multiple
1238	IgE levels QTL		disease	Immunological
1242	Wolff-Parkinson-White syndrome		disease	Cardiovascular
1270	Primary lateral sclerosis		disease	Neurological
1285	3-methylglutaconicaciduria		disease	Metabolic
1289	Convulsions		disease	Neurological
1303	Infantile spasm syndrome		disease	Neurological
1304	Partington syndrome		disease	Neurological
1305	Proud syndrome		disease	Multiple
1306	Birt-Hogg-Dube syndrome		disease	Dermatological
1307	Pneumothorax, primary spontaneous		disease	Respiratory
1329	MTP		gene	gene
1338	CNGA3		gene	gene
1339	GNAT2		gene	gene
1348	SSTR5		gene	gene
1361	PLAG1		gene	gene
1394	OCA2		gene	gene
1396	TYRP1		gene	gene
1402	GFAP		gene	gene
1420	A2M		gene	gene
1421	APBB2		gene	gene
1424	BLMH		gene	gene
1428	PLAU		gene	gene
1430	PSEN2		gene	gene
1431	PAXIP1		gene	gene
1442	GSN		gene	gene
1443	LYZ		gene	gene
1446	NEFH		gene	gene
1447	PRPH		gene	gene
1448	SOD1		gene	gene
1455	ABCB7		gene	gene
1456	ALAS2		gene	gene
1457	SLC11A2		gene	gene
1458	PKLR		gene	gene
1460	RPS19		gene	gene
1462	NT5C3		gene	gene
1463	CDAN1		gene	gene
1465	UBE3A		gene	gene
1477	FOXE3		gene	gene
1491	APOC3		gene	gene
1492	APOH		gene	gene
1501	PKP2		gene	gene
1512	MS4A2		gene	gene
1513	HNMT		gene	gene
1514	IL12B		gene	gene
1515	IL13		gene	gene
1516	PTGDR		gene	gene
1518	SCGB1A1		gene	gene
1521	SCGB3A2		gene	gene
1522	GPR154		gene	gene
1524	TTPA		gene	gene
1525	ALS4		gene	gene
1526	APTX		gene	gene
1527	ATCAY		gene	gene
1529	MRE11A		gene	gene
1533	ALOX5		gene	gene
1534	IL4R		gene	gene
1535	SELP		gene	gene
1538	HAVCR1		gene	gene
1541	GATA4		gene	gene
1548	CRELD1		gene	gene
1550	GLO1		gene	gene
1552	NLGN3		gene	gene
1554	AIRE		gene	gene
1573	RFX5		gene	gene
1574	RFXAP		gene	gene
1576	TAPBP		gene	gene
1586	SMO		gene	gene
1621	ABO		gene	gene
1622	ACHE		gene	gene
1623	AQP1		gene	gene
1624	AQP3		gene	gene
1625	DO		gene	gene
1626	BSG		gene	gene
1627	CD44		gene	gene
1628	CR1		gene	gene
1629	DAF		gene	gene
1630	FUT3		gene	gene
1631	GCNT2		gene	gene
1632	GYPA		gene	gene
1633	GYPB		gene	gene
1635	ICAM4		gene	gene
1636	KEL		gene	gene
1637	LU		gene	gene
1640	SLC14A1		gene	gene
1641	XG		gene	gene
1642	B3GALT3		gene	gene
1643	A4GALT		gene	gene
1660	EYA1		gene	gene
1663	BARD1		gene	gene
1669	PHB		gene	gene
1671	RAD51		gene	gene
1673	TSG101		gene	gene
1676	PPM1D		gene	gene
1677	RB1CC1		gene	gene
1687	C1QA		gene	gene
1688	C1QB		gene	gene
1689	C1QG		gene	gene
1690	C1S		gene	gene
1691	C2		gene	gene
1692	C3		gene	gene
1693	C4A		gene	gene
1694	C4B		gene	gene
1696	C7		gene	gene
1697	C8B		gene	gene
1698	C9		gene	gene
1699	IF		gene	gene
1709	FGFR4		gene	gene
1719	ACTC		gene	gene
1726	MYBPC3		gene	gene
1727	MYH6		gene	gene
1729	MYL2		gene	gene
1730	MYL3		gene	gene
1731	PLN		gene	gene
1734	TNNC1		gene	gene
1735	TNNI3		gene	gene
1736	TNNT2		gene	gene
1737	TPM1		gene	gene
1739	CSRP3		gene	gene
1741	ABCC9		gene	gene
1743	MYLK2		gene	gene
1750	CRYAA		gene	gene
1752	CRYBA1		gene	gene
1753	CRYBB1		gene	gene
1754	CRYBB2		gene	gene
1755	CRYGC		gene	gene
1756	CRYGD		gene	gene
1757	GJA3		gene	gene
1758	GJA8		gene	gene
1759	HSF4		gene	gene
1760	LIM2		gene	gene
1761	MIP		gene	gene
1763	PITX3		gene	gene
1764	BFSP2		gene	gene
1776	CST3		gene	gene
1792	DNM2		gene	gene
1795	GJB1		gene	gene
1799	NEFL		gene	gene
1801	RAB7		gene	gene
1802	MTMR2		gene	gene
1803	LITAF		gene	gene
1804	MFN2		gene	gene
1805	NDRG1		gene	gene
1806	KIF1B		gene	gene
1807	GDAP1		gene	gene
1808	SH3TC2		gene	gene
1809	SBF2		gene	gene
1852	TBX22		gene	gene
1868	BUB1		gene	gene
1869	BUB1B		gene	gene
1871	DCC		gene	gene
1875	MCC		gene	gene
1879	NRAS		gene	gene
1880	ODC1		gene	gene
1883	PLA2G2A		gene	gene
1884	PMS1		gene	gene
1886	PTPN12		gene	gene
1887	PTPRJ		gene	gene
1888	SRC		gene	gene
1894	DLC1		gene	gene
1896	MLH3		gene	gene
1907	GUCA1A		gene	gene
1935	TACSTD2		gene	gene
1936	TGFBI		gene	gene
1937	KERA		gene	gene
1939	PIP5K3		gene	gene
1942	MEF2A		gene	gene
1943	MMP3		gene	gene
1944	PON1		gene	gene
1945	PON2		gene	gene
1946	KL		gene	gene
1955	CPT1A		gene	gene
1967	HLA-DQB1		gene	gene
