id1,id2,id3
1,1,1
1,1,2
2,2,1
2,3,1
2,3,1
2,3,1
2,3,1
2,3,1
2,3,1
2,3,1
2,3,1
2,3,1
2,3,1
2,3,1
2,3,1
4,4,1
4,4,2
4,4,1
4,4,2
4,4,1
4,4,2
10,5,2
10,5,3
10,6,2
10,6,3
10,5,2
10,5,3
15,8,1
16,8,2
17,8,4
17,8,1
17,8,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,10,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,10,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,10,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,10,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
18,9,2
19,10,2
19,4,2
19,11,2
19,10,2
19,11,2
19,4,2
19,11,2
19,11,2
19,4,2
19,12,2
19,12,2
20,10,2
20,10,5
20,10,1
20,11,2
20,11,5
20,11,1
20,10,2
20,10,5
20,10,1
20,11,2
20,11,5
20,11,1
20,11,2
20,11,5
20,11,1
20,12,2
20,12,5
20,12,1
20,12,2
20,12,5
20,12,1
20,10,2
20,10,5
20,10,1
20,11,2
20,11,5
20,11,1
20,10,2
20,10,5
20,10,1
20,11,2
20,11,5
20,11,1
20,11,2
20,11,5
20,11,1
20,11,2
20,11,5
20,11,1
20,12,2
20,12,5
20,12,1
20,12,2
20,12,5
20,12,1
20,10,2
20,10,5
20,10,1
20,11,2
20,11,5
20,11,1
20,10,2
20,10,5
20,10,1
20,11,2
20,11,5
20,11,1
20,11,2
20,11,5
20,11,1
20,11,2
20,11,5
20,11,1
20,12,2
20,12,5
20,12,1
20,12,2
20,12,5
20,12,1
22,15,1
22,15,2
22,15,1
22,15,2
23,16,6
23,16,2
23,16,6
23,16,2
23,4,6
23,4,2
23,17,6
23,17,2
23,3,6
23,3,2
23,18,6
23,18,2
23,16,6
23,16,2
23,16,6
23,16,2
23,3,6
23,3,2
23,18,6
23,18,2
23,16,6
23,16,2
23,16,6
23,16,2
23,3,6
23,3,2
23,18,6
23,18,2
23,16,6
23,16,2
23,16,6
23,16,2
23,3,6
23,3,2
23,18,6
23,18,2
23,16,6
23,16,2
23,16,6
23,16,2
23,3,6
23,3,2
23,18,6
23,18,2
23,16,6
23,16,2
23,16,6
23,16,2
23,18,6
23,18,2
23,16,6
23,16,2
23,16,6
23,16,2
23,18,6
23,18,2
23,16,6
23,16,2
23,16,6
23,16,2
23,18,6
23,18,2
23,16,6
23,16,2
23,16,6
23,16,2
23,3,6
23,3,2
23,18,6
23,18,2
24,19,2
24,19,7
24,19,1
24,15,2
24,15,7
24,15,1
26,4,2
26,4,1
26,4,2
26,4,1
26,4,2
26,4,1
26,20,2
26,20,1
26,4,2
26,4,1
26,4,2
26,4,1
26,4,2
26,4,1
26,20,2
26,20,1
26,4,2
26,4,1
26,4,2
26,4,1
26,4,2
26,4,1
26,20,2
26,20,1
30,8,2
31,8,1
31,8,2
31,8,1
31,8,2
32,8,8
32,8,9
32,8,10
32,8,2
32,8,7
36,4,2
36,4,7
36,4,2
36,4,7
36,4,2
36,4,7
36,4,2
36,4,7
37,4,2
37,4,5
37,4,2
37,4,5
37,4,2
37,4,5
42,6,11
42,6,11
42,6,11
42,6,11
42,6,11
42,6,11
42,6,11
42,6,11
42,6,11
42,6,11
42,6,11
42,6,11
42,6,11
42,6,11
44,15,1
44,15,2
49,4,2
49,4,1
49,4,2
49,4,1
51,6,2
51,6,2
51,6,2
51,6,2
51,24,2
51,6,2
51,6,2
51,6,2
51,6,2
51,6,2
51,24,2
53,6,2
53,6,2
53,6,2
53,6,2
53,24,2
53,6,2
53,6,2
53,6,2
53,6,2
53,24,2
53,6,2
54,25,12
54,25,2
54,25,1
54,25,12
54,25,2
54,25,1
54,25,12
54,25,2
54,25,1
54,25,12
54,25,2
54,25,1
58,6,1
58,6,1
58,6,1
59,5,2
60,5,2
60,5,2
61,5,9
61,5,26
61,5,7
62,5,9
62,5,1
62,5,17
62,5,7
62,5,2
62,26,9
62,26,1
62,26,17
62,26,7
62,26,2
62,26,9
62,26,1
62,26,17
62,26,7
62,26,2
62,26,9
62,26,1
62,26,17
62,26,7
62,26,2
69,27,17
69,27,2
69,27,17
69,27,2
71,27,1
72,5,3
72,5,7
72,5,2
72,1,3
72,1,7
72,1,2
73,5,3
73,26,3
73,26,3
73,26,3
74,5,3
74,26,3
74,26,3
74,26,3
75,28,2
75,28,2
75,28,2
75,28,2
75,28,2
75,28,2
75,28,2
75,28,2
75,28,2
75,28,2
75,29,2
75,29,2
75,28,2
75,28,2
75,29,2
75,28,2
75,28,2
75,29,2
75,28,2
75,4,2
75,28,2
75,28,2
75,4,2
75,28,2
75,28,2
75,28,2
75,28,2
75,28,2
76,5,3
76,5,2
78,6,2
78,6,2
78,6,2
78,6,2
78,6,2
78,6,2
78,6,2
80,6,2
80,6,2
80,6,2
80,6,2
80,6,2
80,6,2
80,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
81,6,2
82,5,6
82,5,1
82,5,2
82,4,6
82,4,1
82,4,2
87,30,7
87,30,2
87,6,7
87,6,2
91,6,3
91,6,3
91,6,3
91,6,3
91,6,3
91,6,3
91,6,3
91,6,3
91,6,3
91,6,3
91,6,3
91,6,3
91,6,3
91,6,3
93,5,2
93,32,2
93,6,2
96,5,2
96,31,2
96,33,2
96,5,2
96,31,2
96,33,2
98,5,10
98,34,10
98,5,10
98,34,10
100,5,2
100,5,7
100,5,3
100,35,2
100,35,7
100,35,3
100,4,2
100,4,7
100,4,3
100,6,2
100,6,7
100,6,3
100,5,2
100,5,7
100,5,3
100,35,2
100,35,7
100,35,3
100,4,2
100,4,7
100,4,3
100,6,2
100,6,7
100,6,3
100,5,2
100,5,7
100,5,3
100,4,2
100,4,7
100,4,3
100,6,2
100,6,7
100,6,3
100,4,2
100,4,7
100,4,3
100,6,2
100,6,7
100,6,3
100,4,2
100,4,7
100,4,3
101,5,3
101,5,9
101,5,2
101,36,3
101,36,9
101,36,2
102,5,3
102,6,3
102,5,3
102,6,3
103,5,2
103,4,2
103,35,2
103,4,2
103,6,2
103,37,2
103,6,2
103,4,2
103,35,2
103,4,2
103,6,2
103,6,2
103,4,2
103,4,2
103,6,2
103,6,2
103,4,2
103,6,2
104,5,2
104,6,2
104,37,2
104,38,2
104,37,2
104,39,2
104,40,2
105,5,9
105,41,9
105,5,9
106,5,3
106,5,7
106,42,3
106,42,7
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
107,6,2
108,5,7
108,5,2
108,6,7
108,6,2
108,5,7
108,5,2
108,6,7
108,6,2
109,6,2
109,6,2
109,6,2
109,6,2
109,6,2
109,6,2
109,6,2
109,6,2
109,6,2
109,6,2
109,6,2
109,6,2
109,6,2
109,6,2
109,6,2
109,6,2
109,6,2
109,6,2
109,6,2
109,6,2
109,6,2
109,6,2
110,43,2
110,43,2
110,4,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,44,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,45,2
110,43,2
110,44,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,45,2
110,43,2
110,44,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,43,2
110,45,2
112,46,1
112,46,2
112,46,1
112,46,2
112,46,1
112,46,2
112,46,1
112,46,2
113,5,2
113,22,2
113,22,2
113,6,2
114,5,3
114,5,5
114,22,3
114,22,5
114,47,3
114,47,5
114,22,3
114,22,5
114,47,3
114,47,5
114,22,3
114,22,5
114,47,3
114,47,5
114,47,3
114,47,5
114,6,3
114,6,5
115,5,2
115,5,5
115,5,7
115,5,3
115,48,2
115,48,5
115,48,7
115,48,3
115,6,2
115,6,5
115,6,7
115,6,3
115,5,2
115,5,5
115,5,7
115,5,3
115,48,2
115,48,5
115,48,7
115,48,3
115,6,2
115,6,5
115,6,7
115,6,3
115,5,2
115,5,5
115,5,7
115,5,3
115,48,2
115,48,5
115,48,7
115,48,3
115,6,2
115,6,5
115,6,7
115,6,3
115,5,2
115,5,5
115,5,7
115,5,3
115,6,2
115,6,5
115,6,7
115,6,3
115,48,2
115,48,5
115,48,7
115,48,3
115,5,2
115,5,5
115,5,7
115,5,3
115,48,2
115,48,5
115,48,7
115,48,3
116,6,3
117,5,3
117,5,17
117,5,18
117,49,3
117,49,17
117,49,18
117,5,3
117,5,17
117,5,18
117,49,3
117,49,17
117,49,18
117,5,3
117,5,17
117,5,18
117,49,3
117,49,17
117,49,18
117,5,3
117,5,17
117,5,18
117,49,3
117,49,17
117,49,18
118,4,2
118,50,2
118,6,2
119,6,3
119,6,9
119,50,3
119,50,9
120,5,7
120,5,3
120,42,7
120,42,3
121,5,7
121,51,7
121,51,7
122,5,3
122,5,9
122,5,7
122,5,2
122,42,3
122,42,9
122,42,7
122,42,2
123,5,2
123,6,2
123,6,2
123,6,2
123,6,2
123,6,2
123,6,2
123,6,2
123,6,2
123,6,2
123,6,2
123,6,2
123,4,2
126,5,2
126,5,3
126,52,2
126,52,3
126,52,2
126,52,3
126,52,2
126,52,3
126,52,2
126,52,3
126,6,2
126,6,3
127,5,9
127,5,2
127,6,9
127,6,2
129,5,7
129,5,2
130,5,2
130,4,2
130,4,2
130,53,2
130,4,2
132,5,3
132,5,2
133,5,11
133,5,3
133,5,9
133,5,2
133,5,1
133,4,11
133,4,3
133,4,9
133,4,2
133,4,1
133,4,11
133,4,3
133,4,9
133,4,2
133,4,1
133,4,11
133,4,3
133,4,9
133,4,2
133,4,1
134,5,9
134,5,3
135,5,3
135,5,7
135,5,17
135,5,2
135,4,3
135,4,7
135,4,17
135,4,2
135,4,3
135,4,7
135,4,17
135,4,2
135,4,3
135,4,7
135,4,17
135,4,2
136,3,2
136,3,7
136,3,1
136,3,2
136,3,7
136,3,1
136,3,2
136,3,7
136,3,1
136,3,2
136,3,7
136,3,1
136,3,2
136,3,7
136,3,1
136,3,2
136,3,7
136,3,1
137,5,3
138,5,7
138,5,2
138,39,7
138,39,2
138,39,7
138,39,2
138,39,7
138,39,2
138,54,7
138,54,2
138,39,7
138,39,2
138,32,7
138,32,2
138,54,7
138,54,2
138,55,7
138,55,2
138,55,7
138,55,2
138,55,7
138,55,2
138,55,7
138,55,2
138,55,7
138,55,2
138,56,7
138,56,2
138,54,7
138,54,2
138,55,7
138,55,2
138,55,7
138,55,2
138,55,7
138,55,2
138,55,7
138,55,2
138,54,7
138,54,2
138,55,7
138,55,2
138,55,7
138,55,2
138,55,7
138,55,2
138,55,7
138,55,2
138,55,7
138,55,2
138,32,7
138,32,2
138,55,7
138,55,2
138,55,7
138,55,2
138,55,7
138,55,2
138,55,7
138,55,2
138,54,7
138,54,2
138,39,7
138,39,2
138,39,7
138,39,2
138,39,7
138,39,2
138,39,7
138,39,2
138,39,7
138,39,2
138,39,7
138,39,2
138,55,7
138,55,2
138,39,7
138,39,2
138,39,7
138,39,2
138,39,7
138,39,2
138,39,7
138,39,2
138,39,7
138,39,2
138,32,7
138,32,2
138,56,7
138,56,2
138,55,7
138,55,2
138,55,7
138,55,2
138,55,7
138,55,2
138,55,7
138,55,2
138,55,7
138,55,2
138,55,7
138,55,2
138,54,7
138,54,2
138,39,7
138,39,2
138,39,7
138,39,2
138,39,7
138,39,2
138,39,7
138,39,2
138,39,7
138,39,2
138,39,7
138,39,2
138,39,7
138,39,2
138,55,7
138,55,2
138,39,7
138,39,2
138,39,7
138,39,2
138,39,7
138,39,2
138,39,7
138,39,2
138,54,7
138,54,2
138,55,7
138,55,2
138,55,7
138,55,2
138,55,7
138,55,2
138,55,7
138,55,2
138,54,7
138,54,2
138,32,7
138,32,2
138,54,7
138,54,2
138,54,7
138,54,2
138,54,7
138,54,2
138,54,7
138,54,2
138,54,7
138,54,2
138,6,7
138,6,2
138,54,7
138,54,2
138,55,7
138,55,2
138,55,7
138,55,2
138,55,7
138,55,2
138,55,7
138,55,2
138,39,7
138,39,2
138,54,7
138,54,2
138,39,7
138,39,2
138,39,7
138,39,2
138,39,7
138,39,2
138,39,7
138,39,2
140,6,3
140,6,2
140,6,3
140,6,2
140,6,3
140,6,2
140,6,3
140,6,2
140,6,3
140,6,2
140,6,3
140,6,2
141,6,2
141,6,2
141,6,2
141,6,2
141,6,2
141,6,2
142,4,2
142,4,1
147,59,2
147,59,2
148,5,2
150,75,2
150,75,1
150,20,2
150,20,1
150,75,2
150,75,1
150,75,2
150,75,1
150,75,2
150,75,1
151,50,11
151,6,11
152,50,2
152,50,11
152,6,2
152,6,11
152,50,2
152,50,11
152,6,2
152,6,11
152,50,2
152,50,11
152,6,2
152,6,11
152,50,2
152,50,11
152,6,2
152,6,11
154,TRNAA,2
154,TRNAA,1
154,4,2
154,4,1
157,6,2
157,6,2
157,6,2
157,6,2
157,6,2
157,6,2
157,6,2
157,6,2
157,6,2
157,6,2
157,6,2
157,6,2
157,6,2
157,6,2
158,6,2
158,6,2
158,4,2
158,6,2
158,6,2
158,6,2
158,6,2
158,6,2
158,6,2
158,6,2
158,4,2
158,6,2
158,6,2
158,6,2
158,6,2
158,6,2
159,6,2
159,6,2
159,6,2
159,6,2
159,6,2
159,6,2
159,6,2
159,6,2
159,6,2
159,6,2
159,6,2
159,6,2
159,6,2
159,6,2
159,6,2
159,6,2
160,6,2
160,6,2
160,6,2
160,4,2
160,6,2
160,6,2
160,6,2
160,6,2
160,6,2
160,6,2
160,4,2
160,6,2
160,6,2
160,6,2
160,6,2
160,6,2
160,6,2
160,6,2
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
161,6,2
161,6,1
162,5,2
162,6,2
162,6,2
162,6,2
164,5,9
164,5,7
165,5,2
165,6,2
165,S_T_Y_Kinase,2
165,4,2
165,24,2
166,5,2
166,6,2
166,S_T_Y_Kinase,2
166,4,2
166,24,2
167,5,9
167,5,3
167,5,2
167,6,9
167,6,3
167,6,2
168,RRM,2
168,RRM,1
168,4,2
168,4,1
168,4,2
168,4,1
169,5,1
169,4,1
170,4,2
170,18,2
170,PRY,2
170,5RY,2
170,16,2
171,5,2
171,22,2
171,52,2
171,52,2
171,22,2
171,6,2
171,38,2
171,5,2
171,22,2
171,52,2
171,22,2
